address,area,city,hotel_description,hotel_facilities,hotel_star_rating,latitude,longitude,property_name,property_type,room_facilities,state
Kalakar Colony,City Centre,Jaisalmer,"Conveniently located in Golden City, OYO Rooms Near Gandhi Chowk Jaisalmer offers easy accessibility to the landmarks. Offering minimalistic-style room options, this hotel ensures a relaxed and stress-free stay.",Basics:Internet|Air Conditioning|Lift|Doorman|Housekeeping|Complimentary Wi-Fi access|Food &amp; Beverage:Restaurant|Personal Services:24 Hour Front Desk|24 Hour Room Service|Laundry|Room Service|Currency Exchange|Dry Cleaning|Travel:Parking|Free Parking|Hotel Amenities:24-Hour Security,3 Star hotel,26.919052,70.911555,OYO Rooms Near Gandhi Chowk Jaisalmer,,Air Conditioning| Television| Iron| Room Heater| Wardrobe | Hot Water | Toiletries Intercom Flat Screen Television Satellite Television | Wake-Up Call Service | Balcony / Sit Out Area | Writing Desk / Study Table,Rajasthan
"Ramgargh Road, Jaisalmer, Rajasthan.",City Centre,Jaisalmer,"Hotel Himmatgarh Palace, Jaisalmer offers breath taking views of Jaisalmer Fort. Made from yellow sandstone, the hotel has a palatial architecture with elegant interiors. The well- designed rooms of the hotel offer modern facilities for a pleasant stay. Shopaholics can go on a shopping spree with the numerous shopping options nearby from the hotel. Location: Hanuman temple (Approx. 1km) and Gadsisar Lake (Approx. 3km) are places of popular tourist attraction near the hotel. Gadsisar Lake built during the 14th century is an artificial rainwater lake and was the main water source during that time. There are several shrines and small temples on the banks of this lake. The main attraction of the lake is the variety of birds that migrate from distant places. Other places worth- exploring include Sam Sand Dunes, Pokaran and Brahmsar. Distance from Jaisalmer Railway Station: Approx. 4kms Distance from Jaisalmer Airport: Approx. 5kms Hotel Features: The hotel offers a host of services for a hassle- free stay. Some of the services include room service, travel desk, parking and doctor-on-call. Guests can unwind in the indoor game area and swimming pool of the hotel. The hotel arranges for desert safari, village safari and other sightseeing tours. Shopping enthusiasts can go shopping at the various shops nearby. The restaurant of the hotel serves delicious treats to its guests. Rooms: The hotel offers deluxe rooms and luxury bhurj tower rooms for accommodation. These rooms are finely designed rooms with a cosy ambience. Amenities include colour television, refrigerator, telephone with direct dialling and air conditioning.",Basics:Internet|Air Conditioning|Lift|Doorman|Housekeeping|Complimentary Wi-Fi access|Food &amp; Beverage:Restaurant|No Category:Shopping|Business services|Front Desk|Recreation:Kids Pool|Travel:Travel Desk|Parking|Personal Services:24 Hour Front Desk|Laundry|Room Service|Business Services:Audio Visual Equipment|Meeting Facility|Hotel Amenities:24-Hour Security,3 Star hotel,26.923432,70.903933,Himmatgarh Palace,,Television| Telephone | Air Conditioning | Private Bathroom,Rajasthan
"No 85, East Raja Street, Near by bus stand, Kanchipuram",Gandhi Road,Kanchipuram,"Baboo Soorya Hotels, Kanchipuram welcomes its clients with warmth and politeness. One experiences utmost pleasure with cordial services, exotic dining and high luxury altogether. This polished property depicts classy ambiance adorned with contemporary furniture that sets a lavish atmosphere. LocationThe hotel is positioned centrally in the golden city of thousand temples. It enjoys convenient connectivity with various interesting places like Rajiv Gandhi Memorial, Kanchipuram 33 km (approx.), Kalpakkam, Kanchipuram 71 km (approx.), Jain Temples, Kanchipuram 2 km (approx.), Madurantakam, Kanchipuram 62 km (approx.), Arignar Anna Zoological Park, Kanchipuram 54 km (approx.), Chennai Trade Centre, Kanchipuram 64 km (approx.) and War Cemetery, Kanchipuram 64 km (approx.)Chennai International Airport 70 km approx.New Kanchipuram Railway Station 1 km approx.Kanchipuram Bus Stand 2 km approx.FacilitiesThe hotel offers suitable amenities like bar, restaurant, conferencing and parking. The bar has exotic ambiance and it is well appointed with an exciting collection of liquor. Sit and dine in soothing ether of restaurant and savor a menu of flavorsome meals. Guests can organize vital meetings and social get-togethers at the elite conference hall. One can leave the vehicle unoccupied in the safe parking premises provided by the hotel. RoomsThe hotel has elegant rooms that are classified as Double AC and Suite Room 4 Bed. Guests need not miss their desired shows on holidays as the room has color TV. Each room is equipped with an AC, chair and table. With hot/cold water supply, a stylish bathroom is attached to each room.",Food &amp; Beverage:Bar|Restaurant|Personal Services:24 Hour Front Desk|24 Hour Room Service|Laundry|Room Service|No Category:Conference facilities|Front Desk|Phone Service|Travel:Parking|Basics:Express Check-Out|Doctor on Call|Basic Room Amenities:Wake-Up Call Service,1 Star hotel,12.83801859,79.70742146,Hotel Baboo Soorya,Hotel,Air Conditioning| Television | Telephone | Private Bathroom | Intercom,TamilNadu
"517 A/2, Shivaji Park, Kolhapur",New Shahupuri/Station Road,Kolhapur,"The First 3* Business Hotel in the Kolhapur city to serve Pure Vegetarian Food Step into the world of Elegance and Luxury to experience the true Hospitality. No matter how many times you look out for The perfect destination, no matter how many times you strive for excellence, no matter how many times you have tried for the best for your team and yourself, surely you would have missed it, if you have not visited us and experienced the warm hospitality.Incorporated in the year 1977, Unique Automobile Group was first chain in automobile business in Kolhapur, later it has diversified its business & stepped into a new world in hospitality industry & was named as Hotel Panchshil is one of Kolhapur's leading Business house having diversified business interests across a wide spectrum of industries. Under the leadership of its dynamic promoters Mr. Kantilal Chordia, Mr. Rahul Chordia & Mr. Vishal Chordia, it has only enhanced and reassured its customers of the best services and led to an unprecedented growth over the last decade. Every activity engaged in, be it in a hospitality, automotive, leisure or retail has steadily focused on creating a better experience in every aspect of life. In due time Panchshil Group has gone from strength to strength, and is primarily synonymous with quality, commitment towards customers, reliability, and excellence in there advanced techniques which has changed the perspective of hospitality industry in Kolhapur by its sheer imagination & execution. Panchshil has successfully developed about a million sq.ft of high-end hotels, automation, commercial & hospitality spaces. Panchshil in Kolhapur is recognized for Trust, Faith, Transparency, Commitment, Quality, Planning & impeccable service. Propelled by the desire to change expectations and lifestyle of people not just by changing the skyline of the city, Panchshil has also ushered in new wave of services across categories marked by higher standards of living and global lifestyles.We are the pioneers to present a first of its kind concept of Go Green Go Vegetarian in Kolhapur amidst a star class ambience. Our service standard leaves no space for our esteemed guests to breathe in a slightest of discomfort and un-professionalism. Its an experience more to be lived up rather to read.Hotel Panchshil:Situated in historic city of Kolhapur, a Business Hotel Panchshil is a boutique hotel. Centrally located, Panchshil is situated in close proximity of 5 min from Kolhapur station and 3 min from bus terminal. It is well connected to major cities in western India including nearby places Bangalore, Goa, Belgaum, Mumbai, Pune, Kokan. Ratnagiri. Panchshil boasts of a Hospitality culture which is modern and yet homely and is fast becoming the preferred choice of many a business traveler. Bright smiles and silent efficiency always promise you the best service, and welcome you every time you choose to stay at Panchshil, Kolhapur. Accommodation HOTEL PANCHSHIL offers 49 elegantly appointed Premiere rooms and 1 Grand suite, innovatively designed and furnished with modern convenience with latest amenities to fulfill all the needs of our guest. Urban haven and comfort has new definition at HOTEL PANCHSHIL. Each guest room is an amalgamation of contemporary dcor, elegance and functionality. The effect is soothing; the feel is calm and utterly peaceful. Warm and rich textures create an idyllic backdrop for relaxation. Escape from the drudgery of modern life into a world of leisure. Our elegantly decorated rooms and suites contain host of modern amenities. All the rooms are centrally air-conditioned with cubical shower, luxurious bedding, work desk, satellite LCD television with 1 remote control, direct dial telephone, wifi connectivity ( @ speed of 3 MB ), electronic safe, room service and much more sure to make you feel at Home!!Food & Beverage BAGICHA:-A Multi cuisine pure Vegetarian Restaurant at lobby level that serves North Indian, South Indian, Indian, Continental & Chinese delights and much more which tempts its guest to come here again and again. LITTLE ITALY @ POINT: - Kolhapurs first Italian Restaurant serving Italian & Mexican specialties like Pastas, Pizzas and Enchiladas, Quesadillas & much more.Black & White Bar: - A mind blogging selection of Wine, Beer & Cocktails is available to put in the right spirits literally. A combination of drinks with food gives you the first fine dine experience in Kolhapur. AVENUE- For Banquet & Conference we have a well-appointed centrally air-conditioned Hall with hi-speed wifi access which can accommodate up to 200 guests on theater style and 100 guest on U shape, 180 on cluster/classroom style with all modern amenities like projectors screen, laser pointer, Audio-Video system Etc. The hall is more spacious & spread on 300 sq.ft. Our Master Chef design the elegant buffet with customized menu for all parties. A perfect destination with class of its own within the budget of everyone.In-Room DiningIn-Room Dining at Panchshil is a dining experience within the Comfort and convenience of your guest room or suite. Choose from an extensive menu, day, or night, ideal for time-zone hopping travellers, impromptu meetings or for quiet, private dining.Panchshil Terrace-One & only one elegant space in Kolhapur in Luxurious, excellence & taste to enjoy mouth watering dishes & sparkling Cocktails / Mock tails in an open air & sky. A taste which gives the feel of dishes & open to sky weather. Panchshil Lawns-A lawn with go green greenery around gives a pleasant look & feels the warmness of surrounding. Panchshil trust on go green & its only the area for get together, birthday parties, meetings, corporate parties, with a build of dance floor, delighted with buffet & a bright focus colourful light in evening gives its presence to all parties. Other Facilities and Amenities at the Hotel Panchshil-Centrally Air Conditioned; Nonsmoking rooms ;24 hour Concierge Service/ Room Service; Direct Dial Phone with IDD, STD & local; Electronic lockers in all rooms; Laundry Service; Travel Desk; Doctor on call; Valet Parking Facilities; Hi-speed wireless & wifi connectivity in entire premises, ( @speed of 3 MB ); Satellite LCD television with 1 remote control; Shoeshine, Turn down service, Minibar, Coffee/Tea makers, Ample parking space.Directions-Hotel direction towards Domestic Airport Pune : 220 kms NEHotel direction towards Railway Station : 03 kms NEHotel direction towards central Bus Station : 300 Mtrs",Business Services:Business Center|Basics:Internet|Air Conditioning|Banquet Facility|Food &amp; Beverage:Restaurant|Travel:Travel Desk|Parking|Personal Services:24 Hour Room Service|Laundry|Room Service|No Category:Conference facilities|Front Desk|Phone Service|Basic Room Amenities:Wake-Up Call Service,3 Star hotel,16.70539034,74.24651474,Hotel Panchshil,Hotel,Air Conditioning| Telephone| Television| Safe| Iron | Internet / Broadband | Private Bathroom | Hair Dryer | Newspaper,Maharashtra
"4/38 A , Convent Road",Convent Road,Kodaikanal,"Hotel Green Park, Kodaikanal, welcomes the guests with an invigorating chill of beauty and peace of nature. Located on the southern crest of the upper Palani hills, it is one of the best hotels in the city. Surrounded by beautiful rocks, woods and a lovely lake, it provides maximum satisfaction with a meticulous service. The warm hospitality and spacious rooms make it a great place to unwind. Location: Hotel Green Park is located at Convent road. It is surrounded by places like Green Valley View (Approx. 6kms) and Kodaikanal Lake (Approx. 3kms) that are popular hotspots. Green Valley View offers a spectacular view of the Vaigai Dam and was formerly known as Suicide Point. The presence of monkeys makes it a major attraction. Other interesting places to visit are Pillar Rocks, Bear Shola Falls and Kurinji Andavar Temple. Distance from Madurai Airport: Approx. 176kmsDistance from Palani Railway Station: Approx. 67kmsHotel Features: The hotel offers an array of services to attract its patrons. The basic facilities include 24-hour front desk, 24-hour room service, parking, 24-hour security and doctor-on-call. For added convenience, the guests can avail the facility of travel desk that provides crucial information about the tourist destinations in the city. The in-house restaurant offers lip-smacking food, which can be enjoyed in an amazing setting.Rooms: Created with elegant furnishings, Hotel Green Park offers rooms that are well endowed with every comfort. Room options include premium, family and deluxe double rooms. All the rooms are captivating, with the view of lush green lawns and gardens. Amenities include colour television, telephone and in-room menu.",Basics:Internet|Interconnecting Rooms|Doorman|Housekeeping|Complimentary Wi-Fi access|Doctor on Call|Food &amp; Beverage:Restaurant|Travel:Travel Desk|Parking|Free Parking|Outdoor Parking|Transportation Service|Personal Services:24 Hour Front Desk|24 Hour Room Service|Laundry|Room Service|Hotel Amenities:24-Hour Security|No Category:Front Desk|Phone Service,3 Star hotel,10.241822,77.487763,Hotel Green Park,Hotel,Television | Telephone | Toiletries Intercom Express Laundry Service Flat Screen Television Hangers In-Room Menu | Bedside Controls,TamilNadu
"Cherai Beach, 1078 Convent beach road",Cherai Beach,Kochi,The resort though made in traditional style yet embraces the modern technology to suit the requirements of the visitors.,Basics:Internet|Air Conditioning|Housekeeping|Wi-Fi on Charge|Food &amp; Beverage:Restaurant|Personal Services:24 Hour Front Desk|Room Service|Laundry|Recreation:Garden|Spa|Massage Centre|Yoga & Meditation|Travel:Free Parking,3 Star hotel,10.15792,76.174221,Les 3 Elephants,,Private Bathroom | Newspaper Ceiling Fan Mirror | Shower | Hot Water,Kerala
"Plot no 92B Sarat Bose Rd, Hazra, Bhowanipore",Sarat Bose Road,Kolkata,OYO Premium Sarat Bose Road is a good luxury hotel in Kolkata. The hotel offers business and leisure travellers a casual residence to explore the exciting part of the city. The hotel understands opulence and unstinting luxury needed by the guests.,Basics:Internet|Air Conditioning|Lift|Complimentary Wi-Fi access|24 Hour Power Supply|Food &amp; Beverage:Restaurant|Personal Services:24 Hour Front Desk|24 Hour Room Service|Laundry|Travel:Parking|Hotel Amenities:24-Hour Security|Business Services:Fax|Photocopy,2 Star hotel,22.525674,88.352671,OYO Premium Sarat Bose Road,,Air Conditioning| Television| Safe | Hot Water | Hair Dryer Ceiling Fan Toiletries | Intercom | Private Bathroom | Writing Desk / Study Table,WestBengal
Convent Road,Convent Road,Kodaikanal,"Kongu Residency, Kodaikanal is one of the choicest of hotels that is scenic and plush with its perfectly manicured lawns. The city is one of the most popular of hill stations in India with amazing and breathtaking views of hills, streams and valleys.Location: Kongu Residency is located at Convent Road, Kodaikanal, a strategic location for guests to start touring the city. Some interesting sightseeing places include Kodaikanal Lake, which is an artificial lake built in 1863; Bryant Park, which is a botanical garden spread across 20.5 acres; and Green Valley View, which offers panoramic view of the plains and a sheer drop of 1,500 metres overlooking the Vaigai Dam to the south.Hotel Features: Kongu Residency is an exclusive holiday experience with a chance to reconnect with nature. The hotel is spacious, clean and comfortable with hills in the background. The basic amenities on offer include room service, Internet access, 24-hour front desk, laundry, travel desk, 24-hour security, valet services, phone service, daily housekeeping, wake-up services and transportation. On prior request, the hotel arranges for camp fires as well. Krishna Restaurant at the hotel serves pure vegetarian fare that is homely, delicious and has an amazing variety of choices.Rooms: Kongu Residency accommodation has a warm and homely atmosphere and offers accommodation in the form of Royal Deluxe, Family Deluxe, Honey Moon Deluxe and Super Deluxe. The rooms are eloquently furnished and well-lighted. Some of the amenities include colour television, private bathroom, telephone with direct dialling facility, in-room menu, luggage space and wooden flooring.",Basics:Internet|Housekeeping|Complimentary Wi-Fi access|Doctor on Call|Food &amp; Beverage:Restaurant|Travel:Travel Desk|Parking|Free Parking|Transportation Service|Personal Services:24 Hour Front Desk|Laundry|Room Service|Dry Cleaning|Hotel Amenities:24-Hour Security|No Category:Front Desk|Phone Service|Basic Room Amenities:Wake-Up Call Service,2 Star hotel,10.241557,77.48846,Kongu Residency,,Television| Telephone | Phone Line | Private Bathroom | Luggage Rack | Intercom Hangers In-Room Menu | Laundry Bag,TamilNadu
Tararani Chowk Kolhapur Maharashtra,New Shahupuri/Station Road,Kolhapur,"Hotel Rajat Executive, Kolhapur is a prestigious hotel providing economy range of tariff with best of services. The property has alluring infrastructure and elegant interior dcor to magnetize the tourists. This hotel offers superior quality of hospitality. Hotel staff is well trained and finely groomed to attend to its guests in the best possible manner leaving them sans complaint. One can unwind with astounding atmosphere all around. LocationThe property is located ideally at the entrance of Kolhapur city and is well connected to railway station and bus stand that contribute to commuting convenience. Other places of interest are Kawla Naka 3 km (approx.), Kolhapur Art Gallery 4 km(approx.), Shri Mahalakshmi Mandir 5 km(approx.), Dream World Water Park 2 km(approx.), Siddhagiri Museum 16 km(approx.), Kolhapur Gate 7 km(approx.), Khardekar Museum 10 km(approx.), Ujlai Devi Temple 10 km(approx.), jai shankar ashram jhulelalMandir 9 km(approx.).Kolhapur Airport - 12 km (approx.)Kolhapur Railway Station - 3 km (approx.)Kolhapur Central Bus Stand - 4 km (approx.)FacilitiesHotel Rajat Executive offers pleasing facilities like restaurant serving Indian, Chinese and Continental dishes, spacious terrace garden with exclusive waterfall, conference hall and booking for luxury buses. Tourists can treat their taste buds with restaurants serving Indian, Chinese and Continental cuisines. Spacious gardens with exclusive waterfall sets a pacifying mood. There is a spacious conference hall that can house a gathering of 50 persons. Booking of luxury buses allows luxurious travel to distant amusement places. RoomsThe hotel has a count of 28 rooms. These rooms are distributed into 5 categories such as standard room, standard room AC, Deluxe AC, suite and executive suite. Rooms are well equipped with satellite T.V. channels, telephone, AC and clean bathroom.",Food &amp; Beverage:Bar|Restaurant|Travel:Travel Desk|Parking|No Category:Conference facilities|Front Desk|Personal Services:Laundry|Room Service|Hotel Amenities:24-Hour Security|Basics:Express Check-In|Doctor on Call|Basic Room Amenities:Wake-Up Call Service,1 Star hotel,16.71372242,74.23299473,Hotel Rajat Executive,Hotel,Air Conditioning | Television | Newspaper | Private Bathroom,Maharashtra
Yamunotri Road Near Dobata,Guptkashi,Kedarnath,,Food &amp; Beverage:Restaurant|Travel:Travel Desk|Basics:Housekeeping|Doctor on Call|24 Hour Power Supply,2 Star hotel,30.5333,79.0833,The Chardham Camp Guptkashi,,Telephone| Linen Available | Hot Water | Mineral Water Toiletries | In-Room Menu | Private Bathroom,Uttaranchal
"Near Vyttila Mobility hub, Bineesh Lane, Kaniampuzha Road, Vyttila",Vyttila,Kochi,"Think of Laals Inn, when you are in search of an economy hotel to stay comfortably in Kochi. Built suitable for long and short stays, Laals Inn offers all premium facilities in a surprisingly affordable budget. It is located in the most convenient location of the city in order to accomplish all your corporate, shopping and recreational needs. The nearest attractions of Laals Inn are Vyttila Mobility Hub (2 minutes walk), Fort Cochin, Marine Drive, Hill Palace, Cherai Beach and Dutch Palace.Equipped with 36 rooms in total, we have 9 Single Rooms (Stranded Rooms), 25 Double Rooms(Deluxe Rooms) and 2 Triple Rooms (Super Deluxe Rooms) to stay in. The rooms which are properly aired are facilitated with A/C, telephone (intercom), 24"" LED TV, drinking water, writing table with chair, wardrobe, hot water facility, all bathroom amenities like bath towel and soap and laundry (chargeable basis). And of course we offer a safe parking facility. Comfortable and homelike feeling at reasonable prices, make us the most sought after destination to stay in Kochi.",Basics:Internet|Air Conditioning|Non-Smoking Rooms|Adjoining Rooms|Express Check-In|Express Check-Out|Housekeeping|Complimentary Wi-Fi access|Doctor on Call|24 Hour Power Supply|Personal Services:24 Hour Front Desk|24 Hour Room Service|Laundry|Room Service|Travel:Bus Parking|Parking|Porter|Free Parking|Transportation Service|Taxi Service|Hotel Amenities:24-Hour Security|No Category:Free Newspaper|Front Desk|Basic Room Amenities:Wake-Up Call Service,2 Star hotel,9.970996,76.321131,Hotel Laal's Inn,Hotel,Air Conditioning| Television| Telephone | Wardrobe | Newspaper Bedside Lamp Ceiling Fan Mineral Water Toiletries Intercom Express Laundry Service Flat Screen Television Mirror Hangers Satellite Television Shower Temperature Control Windows Open Bedside Controls | Wake-Up Call Service | Private Bathroom | Luggage Rack,Kerala
"Kottarathil, Market Road, Edappally",Kalamassery,Kochi,"Palm Grove is a cosy ancestral house with all modern facilities in Kochi. Surrounded by nature, one can experience a serene stay and also its proximity to Edappally Railway Station make it an ultimate destination among leisure travellers.",Travel:Free Pick & Drop|Travel Desk|Parking|Personal Services:24 Hour Front Desk|Room Service|Basics:Housekeeping|Doorman|Air Conditioning|Doctor on Call|Food &amp; Beverage:Coffee Shop|Hotel Amenities:24-Hour Security|No Category:Front Desk|Recreation:Indoor Games|Basic Room Amenities:Wake-Up Call Service,2 Star hotel,10.021298,76.307426,Palm Grove Service Villa,,Air Conditioning| Television | Hot Water | Tea / Coffee maker | Private Bathroom,Kerala
"Hillscape Khandala,Hillscape Boutique Residency, Santogen House,Plot No-15/16,Hilltop Colony, Near RTO Guest City",khandala,Khandala,"HillScape Boutique Residency, Khandala, is a peaceful and a comfortable abode for those who desire to spend memorable time against a serene landscape. Each room is complemented by its rich amenities and warm ambience. Food lovers can splurge on a variety of appetizing meals offered by tantalizing dining option.Location:HillScape Boutique Residency is located at Santogen House, Hilltop Colony, near RTO Guest City. Lonavala lake (Approx. 6km) and Valvan Dam (Approx. 7km) are attractive destinations situated nearby. One must visit the Valvan Dam which is known to supply water to the Khopoli Power Plant. The picturesque surrounding of the plant consists of a beautiful garden and extensive lush plains. Other interesting destinations worth-visiting include Monkey Hill, Bhaja caves and Rajmachi fort.Distance from Pune International Airport: 76 km (approx.)Distance from Khandala Railway Station: 7 km (approx.)Hotel Features:With host of amenities, the hotel assures guests of convenience and comfort. The basic amenities include room service, internet, 24-hour front desk, air conditioning, parking, travel desk, 24-hour security, concierge, parking and doctor-on-call. A game room is also available for those who love video games. For business needs, there is a business centre that renders business services. Well-equipped conference and meeting facilities are also available to hold business meetings or seminars. A multi-cuisine restaurant called Hilltop serves a variety of mouth-watering cuisines. One can also savour meals at the in-room dining. Rooms:Three different accommodations known as a/c executive room, a/c suite room and a/c deluxe room are provided to the guests. Each room exudes warmth, comfort and homely ambience. Room amenities include air conditioning, internet access, minibar, safe, telephone, in-room menu, in-room safe, satellite TV and tea/coffee maker.",Business Services:Business Center|Meeting Facility|Conference Hall|Meeting Room|Basics:Internet|Air Conditioning|Doorman|Housekeeping|Banquet Facility|Doctor on Call|Food &amp; Beverage:Restaurant|Travel:Travel Desk|Parking|Free Parking|Valet Parking|Personal Services:24 Hour Front Desk|24 Hour Room Service|Laundry|Room Service|No Category:Conference facilities|Business services|Conference suite|Front Desk|Phone Service|Hotel Amenities:24-Hour Security|Concierge|Recreation:Indoor Games,1 Star hotel,18.05918,74.012629,HillScape Khandala,,Internet / Broadband| Mini Bar| Safe| Telephone| Phone Line| Air Conditioning | Television | Private Bathroom Balcony / Sit Out Area Luggage Rack Sofa | Writing Desk / Study Table | Bedside Lamp Intercom Flat Screen Television Mirror Hangers In-Room Menu In-Room Electronic Safe Marble Floor Satellite Television Table Lamp Tea / Coffee maker Temperature Control | Windows Open,Maharashtra
"Hotel Grand Palace, Near Lake, Convent Road",Fern Hill Road,Kodaikanal,"Vista Rooms at Grand Palace offers business and leisure travellers the best of both worlds in terms of comfort, security hospitality and affordability.",Business Services:Business Center|Meeting Facility|Conference Hall|Basics:Internet|Lift|Facility for Disabled Guest|Non-Smoking Rooms|Express Check-In|Express Check-Out|Complimentary Wi-Fi access|Banquet Facility|Doctor on Call|Food &amp; Beverage:Restaurant|Coffee Shop|Travel:Travel Desk|Airport Transfer|Parking|Railway Station Transfer|Taxi Service|Personal Services:24 Hour Room Service|Laundry,3 Star hotel,10.243292,77.490047,Vista Rooms at Grand Palace,,Television| Iron | Telephone | Newspaper Mirror | Satellite Television | Private Bathroom | Writing Desk / Study Table,TamilNadu
Railway Road,Railway Road,Katra,"Hotel Sitara International, Katra, blends modern necessities of living with a stress-free environment. Travellers with an intention for complete peace of mind and soul on this sacred sojourn can reckon on this hotel for a total satisfying experience. The simplistic dcor of the rooms and useful amenities further make the stay pleasant.Location: Hotel Sitara International stands on Railway Road, Katra. Places of visit like Aghaar Baba Jitto (Approx. 7km) and Geeta Mandir (Approx. 2km) can be easily accessed from the hotel. Aghaar Baba Jitto is dedicated to Baba Jitto who was an activist and an ardent devotee of Mata Vaishno Devi. The stream running across this temple is said to have curative powers. Visitors can also include Nau Devian, Baba dhansar and Jhajjar Kotli Park in their travel plan. Distance from Jammu Airport: Approx. 52kmsDistance from Shri Mata Vaishno Devi Katra Railway Station: Approx. 1km Hotel Features: The hotel provides a range of serviceability for comfort and ease. Room service, 24-hour front desk, 24-hour room service, air conditioning, parking, travel desk, 24-hour security and doctor-on-call are offered to the guests during the stay. Massage services provided by the hotel is absolutely refreshing for the strained body and feet after the long journey.Rooms: Non A/c deluxe rooms and A/c super deluxe rooms at Hotel Sitara International are fitted with amenities like colour TV and telephone. These rooms are comfortable and well-decorated to suit the needs of weary travellers.",Travel:Travel Desk|Parking|Free Parking|Transportation Service|Personal Services:24 Hour Front Desk|24 Hour Room Service|Laundry|Room Service|Basics:Air Conditioning|Doorman|Housekeeping|Doctor on Call|Hotel Amenities:24-Hour Security|No Category:Front Desk|Phone Service|Recreation:Massage Centre|Basic Room Amenities:Wake-Up Call Service,2 Star hotel,32.987673,74.930981,Hotel Sitara International,Hotel,Luggage Rack | Private Bathroom | Ceiling Fan | In-Room Menu | Television Phone Line | Telephone,JammuandKashmir
"10/1335, Varekat, (Rose Land)",Fort Kochi,Kochi,"Eden Garden Heritage Homestay, Kochi, exudes a rustic feel mingled with a contemporary approach. An envelope of serenity, it stands amidst gleaming greenery and a cascading waterfall. The classic exterior and the traditional decor of this property attract the patrons. Fundamental comforts, business essentials, spic and span accommodations are other plus points of this haven. Location:Eden Garden Heritage Homestay is positioned at Varekat, Rose Land. Exclusive sightseeing venues located near the homestay are Paradesi Synagogue (Approx. 3km) and Santa Cruz Cathedral (Approx. 1km). Paradesi Synagogue is the oldest active synagogue of the Jewish community. The Chinese hand-painted porcelain tiles on the floors are the main attraction of this synagogue. Vacationists must also plan a trip to Hill Palace Museum, Chottanikkara temple and Shiva Temple.Distance from Cochin International Airport: 48 km (approx.)Distance from Ernakulam Junction South Railway Station: 12 km (approx.)Hotel Features:Basic leisure and business amenities form the leading components of this lodging house. Room service, internet, 24-hour front desk, air conditioning, parking, travel desk, 24-hour security, and doctor-on-call are the key services. Formal meetings and seminars can be hosted with the business services and audio visual equipment available at this homestay. Rooms:Accommodation is offered in the form of deluxe rooms and superior rooms. These cosy rooms have a well-organised decor. They are well-ventilated and decorated with simple fixtures. LCD colour TV and refrigerator are some of the amenities within these air conditioned rooms.",Basics:Internet|Air Conditioning|Doorman|Express Check-In|Express Check-Out|Housekeeping|Doctor on Call|Travel:Travel Desk|Parking|Transportation Service|Personal Services:24 Hour Front Desk|Room Service|Business Services:Audio Visual Equipment|Hotel Amenities:24-Hour Security|No Category:Front Desk,2 Star hotel,9.957195,76.245119,Eden Garden Heritage Homestay,Homestay,Air Conditioning | Television | Refrigerator Flat Screen Television Satellite Television | Free Wi-Fi | Private Bathroom,Kerala
"Beach Road, Cherai, Eranakulam",Cherai Beach,Kochi,The hotel offers independent cottage to experience the boundless beauty of nature. Backwaters make the stay more fun. The amazing location is combined with close proximity of exotic destinations.,Food &amp; Beverage:Restaurant|Travel:Parking|Travel Desk|Basics:Air Conditioning|Personal Services:Laundry|Currency Exchange|Recreation:Garden,2 Star hotel,10.139267,76.180136,Kadaloram Beach Resort,Resort,Writing Desk / Study Table | Wardrobe,Kerala
"Bocha Gaon, P.O. Kaziranga, District– Golaghat",Kaziranga National Park,Kaziranga,"Infinity Resort, Kaziranga is a unique model of a resort and it is a one-of-its-kind holiday home. This European-style architecture is made with natural components and is designed with contemporary amenities. The place is snuggled with utmost serenity and is surrounded with plenty of greenery. Its comfy beds and well-furnished rooms make it an ideal destination set in the lap of nature.LocationWith its comfortable location, the resort offers simple access to the town's must-see destinations. Some of them are Kaziranga National Park, Kaziranga 1 km (approx.), Gohpur, Kaziranga 181 km (approx.), Tea Gardens, Kaziranga 53 km (approx.) and Panbari Reserve Forest, Kaziranga 1 km (approx.). Jorhat Airport 113 km approx.Jakhalabandha Railway Station 24 km approx.Mission Chariali Bus Stand 53 km approx.FacilitiesThe property brings eminent facilities for their valuable guests that include restaurant, bar, business center, coffee shop, shops, tours and outdoor pool. Restaurant treats the guests with an array of mouthwatering cuisines and offers the picturesque beauty of nature. Bar is well-maintained where one can get his choice of liquor conveniently. Visitors can avail the opportunity of conducting meetings or events at the business center. Outdoor pool is the place where guests can unwind for long time. RoomsThe hotel offers 18 luxury cottages to their clients. All the rooms are individually designed by classy wooden interiors that look beautiful with wooden flooring. These are well-appointed with air conditioner, in room safe, coffee/tea maker and fan.",Business Services:Business Center|Meeting Facility|Basics:Internet|Air Conditioning|Housekeeping|Banquet Facility|Food &amp; Beverage:Restaurant|Recreation:Kids Pool|Spa|Massage Centre|Travel:Travel Desk|Parking|Free Parking|Personal Services:24 Hour Front Desk|24 Hour Room Service|Laundry|No Category:Business services|Front Desk|Outdoor Pool|Hotel Amenities:24-Hour Security|Catering Service,3 Star hotel,,,Infinity Resort,Resort,Air Conditioning | Telephone | Private Bathroom | Writing Desk / Study Table | Bedside Lamp Mineral Water Toiletries Mirror Hangers In-Room Menu Laundry Bag Table Lamp | Wooden Floor,Assam
